id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,hemodialyse,dialyse_peritoneale,nb_postes_dialyse,seances_par_semaine,consultation_nephrologue,urgences_renales,prise_en_charge_cnps,prise_en_charge_minsante,horaires,Categorie,type_hopital,couveuses,bloc_operatoire,urgences_24h,maternite,radiographie,echographie,scanner,irm,mammographie,doppler,analyses_courantes,bilan_complet,bacteriologie,serologie,pcr_covid_paludisme,prelevement_domicile,resultat_en_ligne,agree_minsante,phytotherapie,acupuncture,massage_therapeutique,traitement_paludisme,traitement_diabete,traitement_hypertension,plante_principale,consultation_generale,chirurgie_oculaire,correction_visuelle,vente_lunettes,traitement_cataracte,traitement_glaucome,laser_vision,pharmacie_de_garde,type_garde,livraison_domicile,parapharmacie,materiel_medical,kinesitherapie,reeducation_post_op,reeducation_neurologique,reeducation_pediatrique,osteopathie,appareillage_orthopedique,seances_domicile,type_centre,vaccination_enfants,vaccination_adultes,suivi_grossesse,planning_familial,consultation_nourrissons,vaccins_disponibles,carnet_sante_numerique,search_text
DIA0018,Centre de Dialyse de Mbanya,Douala,Douala III,Koumassi,4.076727,9.683636,+237 654 791 582,mbanya@hotmail.com,Oui,Non,4.0,Sur rendez-vous,Non,Oui,Non,Non,7j/7 — 07h00–21h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Mbanya Koumassi
DIA0019,Unité de Dialyse Tchoupo,Douala,Douala IV,Youpwé,4.017568,9.760256,+237 222 334 613,unitétchoupo@yahoo.fr,Oui,Oui,17.0,3 séances/semaine,Oui,Oui,Oui,Oui,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unité de Dialyse Tchoupo Youpwé
DIA0020,Centre de Dialyse de Ndokoti,Douala,Douala IV,Bessengue,4.05977,9.634244,+237 243 997 998,ndokoti@yahoo.fr,Oui,Non,12.0,Sur rendez-vous,Oui,Oui,Oui,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Ndokoti Bessengue
DIA0021,Centre de Dialyse Saint-Félicité,Yaoundé,Yaoundé IV,Carrière,3.810935,11.598434,+237 653 495 010,félicité@yahoo.fr,Oui,Non,15.0,2 séances/semaine,Non,Non,Oui,Non,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse Saint-Félicité Carrière
DIA0022,Unité de Dialyse Elong,Douala,Douala V,Logbessou,4.022799,9.707359,+237 696 802 082,unitéelong@hotmail.com,Oui,Oui,9.0,2 séances/semaine,Oui,Non,Non,Oui,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unité de Dialyse Elong Logbessou
DIA0023,Dialyse Grâce,Yaoundé,Yaoundé III,Mvog-Beti,3.859637,11.550472,+237 677 231 335,grâce@gmail.com,Oui,Oui,17.0,2 séances/semaine,Oui,Oui,Non,Oui,7j/7 — 07h00–21h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dialyse Grâce Mvog-Beti
DIA0024,Centre de Dialyse de PK12,Douala,Douala I,Ndoghem,4.038427,9.652504,+237 691 100 470,pk12@dialyse.cm,Oui,Non,5.0,2 séances/semaine,Oui,Non,Oui,Oui,7j/7 — 07h00–21h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de PK12 Ndoghem
DIA0025,Centre de Néphrologie de Makepe,Douala,Douala VI,Makepe,4.124378,9.68008,+237 699 687 753,néphrologiemak@dialyse.cm,Oui,Oui,19.0,Sur rendez-vous,Oui,Non,Oui,Non,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Makepe Makepe
DIA0026,Centre de Néphrologie de Ndoghem,Douala,Douala I,Soboum,3.978035,9.663695,+237 699 049 668,néphrologiendo@dialyse.cm,Oui,Non,5.0,3 séances/semaine,Oui,Non,Oui,Oui,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Ndoghem Soboum
DIA0027,Centre de Dialyse de Obili,Yaoundé,Yaoundé III,Obili,3.7512,11.50759,+237 222 239 895,obili@gmail.com,Oui,Oui,3.0,3 séances/semaine,Oui,Oui,Oui,Oui,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Obili Obili
DIA0028,Unité de Dialyse Nkoa,Yaoundé,Yaoundé VI,Ekounou,3.906053,11.520744,+237 233 052 860,uniténkoa@yahoo.fr,Oui,Oui,17.0,2 séances/semaine,Oui,Oui,Non,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unité de Dialyse Nkoa Ekounou
DIA0029,Centre de Néphrologie de Soboum,Douala,Douala III,PK17,3.986606,9.666429,+237 652 132 070,néphrologiesob@dialyse.cm,Oui,Non,14.0,Sur rendez-vous,Oui,Non,Oui,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Soboum PK17
DIA0030,Centre de Dialyse de Bepanda,Douala,Douala II,Bepanda,4.061919,9.786833,+237 233 747 242,bepanda@dialyse.cm,Oui,Non,15.0,3 séances/semaine,Non,Oui,Oui,Oui,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Bepanda Bepanda
DIA0031,Unité de Dialyse Ondoa,Douala,Douala II,Village,4.057069,9.732032,+237 677 628 617,unitéondoa@gmail.com,Oui,Non,4.0,3 séances/semaine,Non,Non,Non,Non,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unité de Dialyse Ondoa Village
DIA0032,Centre de Dialyse de Simbock,Yaoundé,Yaoundé II,Simbock,3.838451,11.596578,+237 243 716 933,simbock@gmail.com,Oui,Non,20.0,Sur rendez-vous,Oui,Non,Oui,Oui,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Simbock Simbock
DIA0033,Centre de Dialyse de Mbanya,Douala,Douala IV,Boko,4.04886,9.775339,+237 693 677 519,mbanya@hotmail.com,Oui,Non,16.0,3 séances/semaine,Oui,Oui,Non,Non,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Mbanya Boko
DIA0034,Dialyse Bonheur,Douala,Douala IV,Ndoghem,4.104187,9.776883,+237 695 535 878,bonheur@hotmail.com,Oui,Non,11.0,Sur rendez-vous,Non,Non,Oui,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dialyse Bonheur Ndoghem
DIA0035,Centre de Dialyse de PK8,Douala,Douala II,PK8,3.963921,9.696818,+237 694 579 898,pk8@gmail.com,Oui,Non,3.0,2 séances/semaine,Oui,Oui,Oui,Oui,7j/7 — 07h00–21h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de PK8 PK8
DIA0036,Centre de Néphrologie de Mimboman,Yaoundé,Yaoundé VI,Mimboman,3.912758,11.487481,+237 233 385 224,néphrologiemim@dialyse.cm,Oui,Oui,13.0,3 séances/semaine,Oui,Non,Non,Non,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Mimboman Mimboman
DIA0037,Dialyse Providence,Douala,Douala VI,PK14,3.967679,9.67577,+237 652 472 357,providence@dialyse.cm,Oui,Non,9.0,3 séances/semaine,Oui,Non,Non,Oui,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dialyse Providence PK14
DIA0038,Centre de Dialyse de Nsam,Yaoundé,Yaoundé V,Nsam,3.793926,11.523945,+237 243 443 420,nsam@dialyse.cm,Oui,Non,4.0,Sur rendez-vous,Non,Non,Oui,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Nsam Nsam
DIA0039,Centre de Dialyse de Bali,Douala,Douala III,Akwa,4.00115,9.729808,+237 222 101 184,bali@yahoo.fr,Oui,Non,19.0,Sur rendez-vous,Oui,Non,Oui,Oui,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Bali Akwa
DIA0040,Centre de Dialyse de Bonanjo,Douala,Douala III,Ndogbong,4.04105,9.657717,+237 233 725 077,bonanjo@gmail.com,Oui,Non,19.0,2 séances/semaine,Non,Oui,Non,Oui,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Bonanjo Ndogbong
DIA0041,Unité de Dialyse Owona,Douala,Douala III,Bonamoussadi,4.047311,9.669745,+237 679 742 459,unitéowona@dialyse.cm,Oui,Oui,5.0,Sur rendez-vous,Oui,Oui,Non,Non,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unité de Dialyse Owona Bonamoussadi
DIA0042,Centre de Néphrologie de PK12,Douala,Douala V,PK10,4.023958,9.628407,+237 699 916 254,néphrologiepk1@gmail.com,Oui,Non,18.0,2 séances/semaine,Oui,Oui,Non,Non,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de PK12 PK10
DIA0043,Centre de Néphrologie de Bangue,Douala,Douala VI,Nyalla,4.033064,9.691614,+237 691 810 271,néphrologieban@gmail.com,Oui,Oui,19.0,2 séances/semaine,Oui,Oui,Oui,Non,7j/7 — 07h00–21h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Bangue Nyalla
DIA0044,Unité de Dialyse Kamga,Douala,Douala III,Japoma,3.994245,9.690432,+237 691 571 104,unitékamga@gmail.com,Oui,Non,18.0,2 séances/semaine,Oui,Oui,Oui,Non,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unité de Dialyse Kamga Japoma
DIA0045,Centre de Dialyse de Bessengue,Douala,Douala III,Nkongmondo,4.087132,9.672992,+237 653 370 004,bessengue@yahoo.fr,Oui,Non,12.0,2 séances/semaine,Non,Oui,Non,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Bessengue Nkongmondo
DIA0046,Centre de Dialyse Saint-Augustin,Douala,Douala V,Village,4.089211,9.725502,+237 691 765 314,augustin@dialyse.cm,Oui,Oui,20.0,Sur rendez-vous,Oui,Oui,Non,Oui,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse Saint-Augustin Village
DIA0047,Centre Rénal Feudjio,Yaoundé,Yaoundé III,Mvog-Beti,3.901434,11.594807,+237 650 022 312,rénalfeudjio@yahoo.fr,Oui,Non,10.0,2 séances/semaine,Oui,Non,Oui,Non,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre Rénal Feudjio Mvog-Beti
DIA0048,Centre de Néphrologie de Étoa-Meki,Yaoundé,Yaoundé III,Mokolo,3.786668,11.446438,+237 690 265 926,néphrologieéto@yahoo.fr,Oui,Oui,12.0,2 séances/semaine,Oui,Oui,Non,Oui,7j/7 — 07h00–21h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Étoa-Meki Mokolo
DIA0049,Centre Rénal Simo,Yaoundé,Yaoundé IV,Essos,3.80735,11.427326,+237 655 337 227,rénalsimo@yahoo.fr,Oui,Non,15.0,3 séances/semaine,Oui,Non,Non,Non,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre Rénal Simo Essos
DIA0050,Centre de Dialyse de Ndokoti,Douala,Douala VI,Ndokoti,4.043985,9.719533,+237 694 217 983,ndokoti@dialyse.cm,Oui,Oui,8.0,2 séances/semaine,Oui,Non,Oui,Non,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Ndokoti Ndokoti
DIA0051,Centre de Dialyse de Boko,Douala,Douala I,Bali,4.079634,9.719872,+237 694 391 298,boko@gmail.com,Oui,Non,11.0,Sur rendez-vous,Oui,Non,Non,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Boko Bali
DIA0052,Centre Rénal Mvogo,Yaoundé,Yaoundé VI,Efoulan,3.896768,11.591518,+237 692 309 418,rénalmvogo@hotmail.com,Oui,Non,15.0,3 séances/semaine,Non,Oui,Non,Non,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre Rénal Mvogo Efoulan
DIA0053,Unité de Dialyse Ekani,Douala,Douala VI,Nyalla,4.103204,9.760398,+237 694 886 994,unitéekani@dialyse.cm,Oui,Non,17.0,2 séances/semaine,Oui,Oui,Non,Non,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unité de Dialyse Ekani Nyalla
DIA0054,Centre Rénal Ndjock,Yaoundé,Yaoundé VI,Nkolbisson,3.92408,11.440227,+237 655 357 384,rénalndjock@hotmail.com,Oui,Oui,4.0,2 séances/semaine,Non,Oui,Non,Non,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre Rénal Ndjock Nkolbisson
DIA0055,Centre de Dialyse Saint-Cyprien,Yaoundé,Yaoundé V,Efoulan,3.855633,11.432907,+237 222 014 657,cyprien@dialyse.cm,Oui,Non,11.0,3 séances/semaine,Non,Non,Oui,Oui,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse Saint-Cyprien Efoulan
DIA0056,Centre de Dialyse de Carrière,Yaoundé,Yaoundé VI,Carrière,3.814118,11.490447,+237 655 461 874,carrière@gmail.com,Oui,Non,18.0,Sur rendez-vous,Non,Oui,Oui,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Carrière Carrière
DIA0057,Unité de Dialyse Biyiti,Yaoundé,Yaoundé V,Nkoabang,3.834729,11.582463,+237 691 264 054,unitébiyiti@yahoo.fr,Oui,Non,7.0,2 séances/semaine,Non,Oui,Oui,Oui,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unité de Dialyse Biyiti Nkoabang
DIA0058,Dialyse Progrès,Douala,Douala II,PK14,4.089011,9.645079,+237 655 454 758,progrès@gmail.com,Oui,Non,9.0,3 séances/semaine,Non,Oui,Oui,Non,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dialyse Progrès PK14
DIA0059,Centre de Dialyse de Bassa,Douala,Douala I,Mbanya,4.085077,9.642922,+237 693 517 831,bassa@dialyse.cm,Oui,Non,4.0,3 séances/semaine,Oui,Oui,Oui,Oui,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Bassa Mbanya
DIA0060,Centre de Néphrologie de Ndokoti,Douala,Douala I,Akwa,4.118019,9.724069,+237 652 106 332,néphrologiendo@hotmail.com,Oui,Non,11.0,3 séances/semaine,Non,Oui,Oui,Oui,7j/7 — 06h00–22h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Ndokoti Akwa
DIA0061,Centre de Néphrologie de Ndog-Passi III,Douala,Douala IV,Ndogbong,3.976044,9.660176,+237 698 327 794,néphrologiendo@hotmail.com,Oui,Oui,13.0,2 séances/semaine,Non,Non,Oui,Non,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Ndog-Passi III Ndogbong
DIA0062,Centre de Dialyse de Odza,Yaoundé,Yaoundé IV,Odza,3.798345,11.453409,+237 243 003 973,odza@yahoo.fr,Oui,Non,16.0,2 séances/semaine,Oui,Oui,Oui,Non,Lun–Sam 06h00–20h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse de Odza Odza
DIA0063,Centre de Néphrologie de Mvog-Beti,Yaoundé,Yaoundé V,Mendong,3.860171,11.459949,+237 677 045 188,néphrologiemvo@gmail.com,Oui,Non,4.0,Sur rendez-vous,Non,Non,Oui,Oui,7j/7 — 07h00–21h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre de Néphrologie de Mvog-Beti Mendong
DIA0064,Centre Rénal Kamga,Douala,Douala II,Ndog-Bong,4.080838,9.701054,+237 694 834 417,rénalkamga@gmail.com,Oui,Non,14.0,2 séances/semaine,Oui,Oui,Oui,Oui,Lun–Ven 07h00–19h00,Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre Rénal Kamga Ndog-Bong
